Date,Order ID,Item Name,Category,Quantity,Price,Total Sales,Payment Method,Customer ID,Customer Age,Customer Gender,Visit Type,Order Time,Wait Time (mins),Day of the Week,Meal Period,Day Type
2024-04-08,ORD40959,Soda,Beverages,5,3,15,Cash,CUST3109,25,Female,Delivery,20:42:00,20,Monday,Dinner,Weekday
2024-02-03,ORD65225,Coffee,Beverages,2,4,8,Mobile Payment,CUST5788,54,Female,Takeout,8:04:00,7,Saturday,Breakfast,Weekend
2024-05-23,ORD76747,Pizza,Main Course,4,14,56,Credit Card,CUST2364,51,Male,Delivery,14:05:00,27,Thursday,Lunch,Weekday
2024-05-03,ORD93538,Burger,Main Course,2,12,24,Credit Card,CUST7286,56,Female,Dine-in,12:13:00,16,Friday,Lunch,Weekday
2024-11-26,ORD92788,Pizza,Main Course,4,14,56,Mobile Payment,CUST1011,52,Male,Takeout,14:51:00,17,Tuesday,Lunch,Weekday
2024-02-25,ORD90298,Salad,Appetizer,1,9,9,Mobile Payment,CUST2538,39,Female,Dine-in,15:01:00,12,Sunday,Lunch,Weekend
2024-10-12,ORD51389,Soda,Beverages,1,3,3,Cash,CUST6407,35,Female,Delivery,21:59:00,16,Saturday,Dinner,Weekend
2024-06-15,ORD23976,Beer,Alcoholic Drinks,1,6,6,Mobile Payment,CUST2335,22,Prefer not to answer,Dine-in,19:16:00,11,Saturday,Dinner,Weekend
2024-12-14,ORD58518,Soda,Beverages,3,3,9,Cash,CUST1548,19,Male,Takeout,18:57:00,8,Saturday,Dinner,Weekend
2024-04-22,ORD43583,Tea,Beverages,5,3,15,Credit Card,CUST1611,49,Male,Dine-in,6:34:00,15,Monday,Breakfast,Weekday
2024-10-31,ORD33900,Pizza,Main Course,2,14,28,Mobile Payment,CUST5365,21,Female,Delivery,16:11:00,21,Thursday,Lunch,Weekday
2024-03-05,ORD41115,Pizza,Main Course,5,14,70,Mobile Payment,CUST4874,23,Male,Dine-in,16:27:00,25,Tuesday,Lunch,Weekday
2024-06-04,ORD29601,Wine,Alcoholic Drinks,5,10,50,Cash,CUST9309,54,Male,Dine-in,19:04:00,11,Tuesday,Dinner,Weekday
2024-08-09,ORD99847,Pizza,Main Course,5,14,70,Cash,CUST2874,22,Male,Dine-in,14:23:00,25,Friday,Lunch,Weekday
2024-05-13,ORD83189,Pasta,Main Course,4,16,64,Mobile Payment,CUST6178,36,Male,Dine-in,17:58:00,22,Monday,Dinner,Weekday
2024-09-18,ORD44246,Beer,Alcoholic Drinks,5,6,30,Cash,CUST6579,47,Male,Delivery,17:56:00,16,Wednesday,Dinner,Weekday
2024-02-16,ORD95776,Beer,Alcoholic Drinks,1,6,6,Cash,CUST6839,52,Male,Delivery,19:09:00,16,Friday,Dinner,Weekday
2024-04-07,ORD78615,Pasta,Main Course,5,16,80,Mobile Payment,CUST1019,28,Male,Dine-in,18:17:00,25,Sunday,Dinner,Weekend
2024-03-17,ORD63165,Salad,Appetizer,4,9,36,Mobile Payment,CUST5739,18,Male,Dine-in,15:59:00,18,Sunday,Lunch,Weekend
2024-08-01,ORD27969,Soda,Beverages,5,3,15,Credit Card,CUST1770,20,Male,Takeout,19:35:00,10,Thursday,Dinner,Weekday
2024-03-25,ORD87612,Salad,Appetizer,2,9,18,Credit Card,CUST5050,39,Male,Dine-in,13:38:00,14,Monday,Lunch,Weekday
2024-03-28,ORD33839,Salad,Appetizer,3,9,27,Mobile Payment,CUST3019,56,Prefer not to answer,Dine-in,11:55:00,16,Thursday,Lunch,Weekday
2024-06-13,ORD31490,Salad,Appetizer,2,9,18,Credit Card,CUST8908,28,Female,Takeout,16:14:00,9,Thursday,Lunch,Weekday
2024-08-06,ORD23179,Tea,Beverages,2,3,6,Cash,CUST1417,49,Female,Delivery,9:39:00,17,Tuesday,Breakfast,Weekday
2024-12-19,ORD54707,Salad,Appetizer,4,9,36,Mobile Payment,CUST2276,42,Female,Delivery,15:25:00,23,Thursday,Lunch,Weekday
2024-11-03,ORD37459,Coffee,Beverages,1,4,4,Cash,CUST8483,18,Male,Takeout,7:24:00,6,Sunday,Breakfast,Weekend
2024-08-16,ORD65667,Salad,Appetizer,4,9,36,Credit Card,CUST7244,28,Male,Delivery,12:15:00,23,Friday,Lunch,Weekday
2024-09-23,ORD66962,Pizza,Main Course,1,14,14,Credit Card,CUST2709,53,Female,Delivery,16:58:00,18,Monday,Lunch,Weekday
2024-11-14,ORD59747,Burger,Main Course,4,12,48,Mobile Payment,CUST4547,50,Male,Takeout,16:45:00,17,Thursday,Lunch,Weekday
2024-04-08,ORD78229,Salad,Appetizer,1,9,9,Cash,CUST1345,49,Female,Delivery,12:50:00,17,Monday,Lunch,Weekday
2024-12-22,ORD91654,Burger,Main Course,1,12,12,Mobile Payment,CUST5363,37,Female,Dine-in,15:55:00,13,Sunday,Lunch,Weekend
2024-11-14,ORD64758,Salad,Appetizer,4,9,36,Cash,CUST1128,40,Male,Delivery,12:59:00,23,Thursday,Lunch,Weekday
2024-06-20,ORD19899,Burger,Main Course,3,12,36,Credit Card,CUST5914,52,Female,Takeout,12:42:00,14,Thursday,Lunch,Weekday
2024-12-30,ORD16227,Wine,Alcoholic Drinks,5,10,50,Mobile Payment,CUST8524,19,Female,Dine-in,21:23:00,11,Monday,Dinner,Weekday
2024-11-24,ORD19172,Burger,Main Course,2,12,24,Mobile Payment,CUST4294,56,Female,Delivery,16:16:00,21,Sunday,Lunch,Weekend
2024-08-10,ORD47147,Beer,Alcoholic Drinks,5,6,30,Credit Card,CUST3169,25,Female,Delivery,19:32:00,16,Saturday,Dinner,Weekend
2024-09-23,ORD92894,Soda,Beverages,2,3,6,Cash,CUST4341,63,Female,Dine-in,19:16:00,12,Monday,Dinner,Weekday
2024-10-01,ORD70359,Pizza,Main Course,4,14,56,Mobile Payment,CUST9421,29,Female,Takeout,15:04:00,17,Tuesday,Lunch,Weekday
2024-03-24,ORD10559,Wine,Alcoholic Drinks,5,10,50,Mobile Payment,CUST6622,52,Male,Takeout,17:32:00,6,Sunday,Dinner,Weekend
2024-01-22,ORD14191,Pizza,Main Course,2,14,28,Credit Card,CUST8940,22,Male,Dine-in,15:54:00,16,Monday,Lunch,Weekday
2024-02-11,ORD71410,Wine,Alcoholic Drinks,4,10,40,Credit Card,CUST9864,46,Female,Takeout,19:37:00,6,Sunday,Dinner,Weekend
2024-07-25,ORD14197,Coffee,Beverages,1,4,4,Mobile Payment,CUST4903,41,Male,Delivery,8:08:00,16,Thursday,Breakfast,Weekday
2024-05-13,ORD90536,Beer,Alcoholic Drinks,5,6,30,Mobile Payment,CUST4893,29,Male,Dine-in,21:49:00,11,Monday,Dinner,Weekday
2024-10-03,ORD28698,Pizza,Main Course,5,14,70,Mobile Payment,CUST6267,25,Male,Dine-in,15:54:00,25,Thursday,Lunch,Weekday
2024-03-04,ORD68277,Pizza,Main Course,4,14,56,Credit Card,CUST9411,21,Female,Dine-in,14:51:00,22,Monday,Lunch,Weekday
2024-12-21,ORD56203,Pasta,Main Course,3,16,48,Mobile Payment,CUST9676,51,Male,Dine-in,21:44:00,19,Saturday,Dinner,Weekend
2024-11-03,ORD37459,Coffee,Beverages,1,4,4,Cash,CUST8483,18,Male,Takeout,7:24:00,6,Sunday,Breakfast,Weekend
2024-09-15,ORD22043,Tea,Beverages,3,3,9,Credit Card,CUST8572,41,Female,Takeout,9:18:00,8,Sunday,Breakfast,Weekend
2024-08-02,ORD76600,Tea,Beverages,2,3,6,Cash,CUST5309,62,Male,Takeout,8:15:00,7,Friday,Breakfast,Weekday
2024-08-01,ORD18158,Salad,Appetizer,2,9,18,Cash,CUST1257,25,Female,Takeout,11:29:00,9,Thursday,Lunch,Weekday
2024-09-02,ORD36795,Burger,Main Course,2,12,24,Cash,CUST4326,62,Male,Dine-in,13:11:00,16,Monday,Lunch,Weekday
2024-09-23,ORD79923,Coffee,Beverages,5,4,20,Mobile Payment,CUST2011,37,Female,Delivery,7:13:00,20,Monday,Breakfast,Weekday
2024-09-05,ORD15426,Coffee,Beverages,3,4,12,Credit Card,CUST8241,31,Male,Dine-in,7:21:00,13,Thursday,Breakfast,Weekday
2024-05-25,ORD84374,Burger,Main Course,1,12,12,Mobile Payment,CUST7389,61,Female,Takeout,11:03:00,8,Saturday,Lunch,Weekend
2024-11-03,ORD42320,Beer,Alcoholic Drinks,2,6,12,Cash,CUST1526,57,Female,Dine-in,21:28:00,11,Sunday,Dinner,Weekend
2024-10-30,ORD90141,Tea,Beverages,2,3,6,Mobile Payment,CUST7432,63,Female,Dine-in,6:54:00,12,Wednesday,Breakfast,Weekday
2024-01-08,ORD19656,Beer,Alcoholic Drinks,4,6,24,Mobile Payment,CUST9683,26,Male,Takeout,18:12:00,6,Monday,Dinner,Weekday
2024-12-10,ORD95479,Pasta,Main Course,2,16,32,Cash,CUST5042,33,Male,Dine-in,18:52:00,16,Tuesday,Dinner,Weekday
2024-03-07,ORD84345,Beer,Alcoholic Drinks,5,6,30,Credit Card,CUST2627,27,Female,Takeout,18:34:00,6,Thursday,Dinner,Weekday
2024-12-09,ORD74448,Tea,Beverages,4,3,12,Mobile Payment,CUST6172,64,Female,Takeout,8:03:00,9,Monday,Breakfast,Weekday
2024-04-09,ORD56541,Pasta,Main Course,3,16,48,Cash,CUST5363,45,Female,Delivery,21:08:00,24,Tuesday,Dinner,Weekday
2024-08-18,ORD14168,Burger,Main Course,3,12,36,Cash,CUST8148,44,Female,Takeout,11:08:00,14,Sunday,Lunch,Weekend
2024-05-25,ORD73715,Soda,Beverages,4,3,12,Cash,CUST9704,60,Male,Delivery,19:41:00,19,Saturday,Dinner,Weekend
2024-02-09,ORD84210,Burger,Main Course,1,12,12,Mobile Payment,CUST2649,20,Female,Takeout,16:35:00,8,Friday,Lunch,Weekday
2024-01-12,ORD20721,Pasta,Main Course,3,16,48,Mobile Payment,CUST4324,20,Female,Takeout,20:19:00,14,Friday,Dinner,Weekday
2024-05-02,ORD89901,Wine,Alcoholic Drinks,2,10,20,Cash,CUST6047,35,Male,Dine-in,17:08:00,11,Thursday,Dinner,Weekday
2024-05-21,ORD98861,Pasta,Main Course,2,16,32,Credit Card,CUST8000,23,Female,Takeout,21:31:00,11,Tuesday,Dinner,Weekday
2024-09-02,ORD65250,Burger,Main Course,1,12,12,Mobile Payment,CUST7353,51,Male,Takeout,11:28:00,8,Monday,Lunch,Weekday
2024-06-10,ORD89938,Soda,Beverages,1,3,3,Mobile Payment,CUST3000,38,Male,Dine-in,21:27:00,11,Monday,Dinner,Weekday
2024-04-18,ORD34997,Pizza,Main Course,3,14,42,Cash,CUST3784,35,Female,Dine-in,13:27:00,19,Thursday,Lunch,Weekday
2024-03-05,ORD84715,Tea,Beverages,1,3,3,Cash,CUST3695,19,Female,Dine-in,6:53:00,11,Tuesday,Breakfast,Weekday
2024-05-21,ORD78138,Wine,Alcoholic Drinks,1,10,10,Credit Card,CUST6049,28,Male,Dine-in,18:56:00,11,Tuesday,Dinner,Weekday
2024-01-08,ORD14612,Pizza,Main Course,1,14,14,Cash,CUST5291,65,Female,Takeout,11:32:00,8,Monday,Lunch,Weekday
2024-12-30,ORD45297,Pizza,Main Course,4,14,56,Mobile Payment,CUST6103,21,Female,Takeout,13:24:00,17,Monday,Lunch,Weekday
2024-12-22,ORD36088,Salad,Appetizer,2,9,18,Cash,CUST2694,39,Male,Takeout,16:54:00,9,Sunday,Lunch,Weekend
2024-07-18,ORD87020,Soda,Beverages,1,3,3,Mobile Payment,CUST9489,28,Male,Dine-in,17:38:00,11,Thursday,Dinner,Weekday
2024-10-04,ORD65418,Pasta,Main Course,1,16,16,Mobile Payment,CUST4508,56,Female,Dine-in,20:59:00,13,Friday,Dinner,Weekday
