Date,Order_ID,Item_Name,Category,Quantity,Price,Total_Sales,Payment_Method,Customer_ID,Customer_Age,Customer_Gender,Visit_Type,Order_Time,Wait_Time_Mins,Day_of_the_Week,Meal_Period,Day_Type,row_id
2024-09-08,ORD71216,Tea,Beverages,3,3.00,9.00,Cash,CUST1444,26,Male,Takeout,08:52:00,8,Sunday,Breakfast,Weekend,59
2024-09-02,ORD93430,Tea,Beverages,1,3.00,3.00,Cash,CUST1905,64,Female,Takeout,10:40:00,6,Monday,Breakfast,Weekday,60
2024-12-06,ORD48950,Burger,"Main Course",4,12.00,48.00,"Credit Card",CUST2702,54,Female,Delivery,11:32:00,27,Friday,Lunch,Weekday,61
2024-08-28,ORD58746,Tea,Beverages,2,3.00,6.00,"Mobile Payment",CUST3682,44,Female,Dine-in,08:16:00,12,Wednesday,Breakfast,Weekday,62
2024-09-14,ORD49203,Coffee,Beverages,4,4.00,16.00,Cash,CUST8622,36,Male,Delivery,06:12:00,19,Saturday,Breakfast,Weekend,63
2024-01-08,ORD19656,Beer,"Alcoholic Drinks",4,6.00,24.00,"Mobile Payment",CUST9683,26,Male,Takeout,18:12:00,6,Monday,Dinner,Weekday,64
2024-04-30,ORD72559,Wine,"Alcoholic Drinks",4,10.00,40.00,"Credit Card",CUST1397,22,Female,Takeout,20:20:00,6,Tuesday,Dinner,Weekday,65
2024-10-26,ORD64496,Soda,Beverages,5,3.00,15.00,"Mobile Payment",CUST6668,26,Female,Delivery,20:40:00,20,Saturday,Dinner,Weekend,66
2024-09-25,ORD32988,Soda,Beverages,5,3.00,15.00,Cash,CUST7361,28,Male,Delivery,17:59:00,20,Wednesday,Dinner,Weekday,67
2024-10-17,ORD29263,Beer,"Alcoholic Drinks",1,6.00,6.00,"Mobile Payment",CUST4799,65,Male,Delivery,19:28:00,16,Thursday,Dinner,Weekday,68
2024-06-09,ORD95469,Beer,"Alcoholic Drinks",1,6.00,6.00,"Credit Card",CUST5444,27,Female,Delivery,17:34:00,16,Sunday,Dinner,Weekend,69
2024-05-31,ORD44133,Coffee,Beverages,2,4.00,8.00,"Mobile Payment",CUST8001,45,Female,Dine-in,08:07:00,12,Friday,Breakfast,Weekday,70
2024-03-26,ORD91319,Burger,"Main Course",3,12.00,36.00,"Credit Card",CUST5218,53,Male,Delivery,11:43:00,24,Tuesday,Lunch,Weekday,71
2024-05-22,ORD41620,Pizza,"Main Course",1,14.00,14.00,Cash,CUST4935,58,Female,Dine-in,12:12:00,13,Wednesday,Lunch,Weekday,72
2024-12-10,ORD95479,Pasta,"Main Course",2,16.00,32.00,Cash,CUST5042,33,Male,Dine-in,18:52:00,16,Tuesday,Dinner,Weekday,73
2024-09-03,ORD34011,Pasta,"Main Course",5,16.00,80.00,Cash,CUST8834,43,Female,Takeout,17:18:00,20,Tuesday,Dinner,Weekday,75
2024-03-11,ORD83540,Soda,Beverages,2,3.00,6.00,Cash,CUST7666,48,Male,Delivery,21:40:00,17,Monday,Dinner,Weekday,76
2024-03-07,ORD84345,Beer,"Alcoholic Drinks",5,6.00,30.00,"Credit Card",CUST2627,27,Female,Takeout,18:34:00,6,Thursday,Dinner,Weekday,77
2024-05-06,ORD23594,Soda,Beverages,4,3.00,12.00,"Mobile Payment",CUST6440,47,Male,Takeout,17:57:00,9,Monday,Dinner,Weekday,78
2024-09-24,ORD26304,Soda,Beverages,2,3.00,6.00,"Credit Card",CUST5508,18,Female,Dine-in,17:57:00,12,Tuesday,Dinner,Weekday,79
2024-09-06,ORD96562,Burger,"Main Course",5,12.00,60.00,"Credit Card",CUST4506,36,Male,Delivery,15:01:00,30,Friday,Lunch,Weekday,80
2024-06-27,ORD90201,Soda,Beverages,1,3.00,3.00,"Credit Card",CUST6101,42,Female,Delivery,21:11:00,16,Thursday,Dinner,Weekday,81
2024-08-12,ORD36384,Coffee,Beverages,4,4.00,16.00,"Mobile Payment",CUST4892,54,Female,Delivery,10:24:00,19,Monday,Breakfast,Weekday,82
2024-06-12,ORD97734,Burger,"Main Course",5,12.00,60.00,Cash,CUST3116,61,Male,Takeout,16:04:00,20,Wednesday,Lunch,Weekday,83
2024-12-09,ORD74448,Tea,Beverages,4,3.00,12.00,"Mobile Payment",CUST6172,64,Female,Takeout,08:03:00,9,Monday,Breakfast,Weekday,84
2024-01-20,ORD21727,Pizza,"Main Course",4,14.00,56.00,"Credit Card",CUST6825,59,Male,Delivery,14:46:00,27,Saturday,Lunch,Weekend,85
2024-03-06,ORD10719,Soda,Beverages,3,3.00,9.00,"Credit Card",CUST1774,23,Female,Takeout,19:18:00,8,Wednesday,Dinner,Weekday,86
2024-05-16,ORD66690,Tea,Beverages,4,3.00,12.00,"Mobile Payment",CUST2033,54,Male,Takeout,09:49:00,9,Thursday,Breakfast,Weekday,87
2024-01-10,ORD62382,Pasta,"Main Course",4,16.00,64.00,Cash,CUST9146,61,Male,Takeout,20:30:00,17,Wednesday,Dinner,Weekday,88
2024-03-26,ORD24805,Beer,"Alcoholic Drinks",1,6.00,6.00,"Mobile Payment",CUST1261,62,"Prefer not to answer",Delivery,19:16:00,16,Tuesday,Dinner,Weekday,89
2024-01-11,ORD36398,Beer,"Alcoholic Drinks",1,6.00,6.00,"Mobile Payment",CUST9063,28,Male,Dine-in,19:48:00,11,Thursday,Dinner,Weekday,90
2024-01-26,ORD48103,Pizza,"Main Course",4,14.00,56.00,Cash,CUST7648,51,Female,Delivery,12:37:00,27,Friday,Lunch,Weekday,91
2024-04-09,ORD56541,Pasta,"Main Course",3,16.00,48.00,Cash,CUST5363,45,Female,Delivery,21:08:00,24,Tuesday,Dinner,Weekday,92
2024-02-02,ORD89408,Beer,"Alcoholic Drinks",3,6.00,18.00,"Mobile Payment",CUST3850,47,Female,Takeout,20:55:00,6,Friday,Dinner,Weekday,93
2024-07-01,ORD16788,Tea,Beverages,3,3.00,9.00,Cash,CUST7693,40,Female,Takeout,07:50:00,8,Monday,Breakfast,Weekday,94
2024-08-18,ORD14168,Burger,"Main Course",3,12.00,36.00,Cash,CUST8148,44,Female,Takeout,11:08:00,14,Sunday,Lunch,Weekend,95
2024-05-25,ORD73715,Soda,Beverages,4,3.00,12.00,Cash,CUST9704,60,Male,Delivery,19:41:00,19,Saturday,Dinner,Weekend,96
2024-09-15,ORD93109,Wine,"Alcoholic Drinks",5,10.00,50.00,"Mobile Payment",CUST7338,19,Male,Dine-in,18:46:00,11,Sunday,Dinner,Weekend,97
2024-02-09,ORD84210,Burger,"Main Course",1,12.00,12.00,"Mobile Payment",CUST2649,20,Female,Takeout,16:35:00,8,Friday,Lunch,Weekday,98
2024-02-02,ORD36126,Salad,Appetizer,2,9.00,18.00,Cash,CUST3033,28,Female,Takeout,16:31:00,9,Friday,Lunch,Weekday,99
2024-12-06,ORD10205,Tea,Beverages,5,3.00,15.00,"Mobile Payment",CUST6658,34,Male,Dine-in,06:06:00,15,Friday,Breakfast,Weekday,100
2024-10-22,ORD75907,Beer,"Alcoholic Drinks",4,6.00,24.00,Cash,CUST6079,37,"Prefer not to answer",Dine-in,19:01:00,11,Tuesday,Dinner,Weekday,101
2024-04-09,ORD48127,Wine,"Alcoholic Drinks",2,10.00,20.00,Cash,CUST1083,27,Male,Dine-in,19:36:00,11,Tuesday,Dinner,Weekday,102
2024-11-25,ORD47083,Soda,Beverages,2,3.00,6.00,"Credit Card",CUST5396,51,"Prefer not to answer",Dine-in,17:08:00,12,Monday,Dinner,Weekday,103
2024-01-09,ORD26712,Pizza,"Main Course",4,14.00,56.00,Cash,CUST1300,42,Male,Dine-in,12:44:00,22,Tuesday,Lunch,Weekday,104
2024-07-20,ORD73588,Pizza,"Main Course",3,14.00,42.00,"Mobile Payment",CUST2936,18,Male,Takeout,12:02:00,14,Saturday,Lunch,Weekend,105
2024-08-10,ORD41159,Wine,"Alcoholic Drinks",5,10.00,50.00,Cash,CUST8564,34,Female,Dine-in,19:40:00,11,Saturday,Dinner,Weekend,106
2024-09-18,ORD52813,Burger,"Main Course",11,12.00,132.00,Cash,CUST8077,32,"Prefer not to answer",Delivery,14:41:00,74,Wednesday,Lunch,Weekday,107
2024-02-16,ORD75137,Pasta,"Main Course",5,16.00,80.00,"Mobile Payment",CUST9470,53,Male,Takeout,17:13:00,20,Friday,Dinner,Weekday,108
2024-06-29,ORD73577,Salad,Appetizer,4,9.00,36.00,Cash,CUST5530,23,"Prefer not to answer",Delivery,16:20:00,23,Saturday,Lunch,Weekend,109
2024-08-18,ORD77678,Pasta,"Main Course",3,16.00,48.00,"Mobile Payment",CUST7650,23,Male,Takeout,17:39:00,14,Sunday,Dinner,Weekend,110
2024-05-16,ORD61248,Wine,"Alcoholic Drinks",4,10.00,40.00,"Mobile Payment",CUST5868,23,Male,Takeout,20:27:00,6,Thursday,Dinner,Weekday,111
2024-01-27,ORD69811,Burger,"Main Course",5,12.00,60.00,"Credit Card",CUST2669,59,Female,Takeout,14:54:00,20,Saturday,Lunch,Weekend,112
2024-04-08,ORD40959,Soda,Beverages,5,3.00,15.00,Cash,CUST3109,25,Female,Delivery,20:42:00,20,Monday,Dinner,Weekday,113
2024-02-03,ORD65225,Coffee,Beverages,2,4.00,8.00,"Mobile Payment",CUST5788,54,Female,Takeout,08:04:00,7,Saturday,Breakfast,Weekend,114
2024-05-23,ORD76747,Pizza,"Main Course",4,14.00,56.00,"Credit Card",CUST2364,51,Male,Delivery,14:05:00,27,Thursday,Lunch,Weekday,115
2024-01-12,ORD20721,Pasta,"Main Course",3,16.00,48.00,"Mobile Payment",CUST4324,20,Female,Takeout,20:19:00,14,Friday,Dinner,Weekday,116
2024-02-25,ORD90298,Salad,Appetizer,1,9.00,9.00,"Mobile Payment",CUST2538,39,Male,Dine-in,15:01:00,12,Sunday,Lunch,Weekend,117
2024-07-18,ORD63680,Wine,"Alcoholic Drinks",3,10.00,30.00,Cash,CUST1419,53,Female,Dine-in,21:56:00,11,Thursday,Dinner,Weekday,118
2024-05-03,ORD93538,Burger,"Main Course",2,12.00,24.00,"Credit Card",CUST7286,56,Female,Dine-in,12:13:00,16,Friday,Lunch,Weekday,119
2024-11-26,ORD92788,Pizza,"Main Course",4,14.00,56.00,"Mobile Payment",CUST1011,52,Male,Takeout,14:51:00,17,Tuesday,Lunch,Weekday,120
2024-05-02,ORD89901,Wine,"Alcoholic Drinks",2,10.00,20.00,Cash,CUST6047,35,Male,Dine-in,17:08:00,11,Thursday,Dinner,Weekday,121
2024-05-21,ORD98861,Pasta,"Main Course",2,16.00,32.00,"Credit Card",CUST8000,23,Female,Takeout,21:31:00,11,Tuesday,Dinner,Weekday,122
2024-09-02,ORD65250,Burger,"Main Course",1,12.00,12.00,"Mobile Payment",CUST7353,51,Male,Takeout,11:28:00,8,Monday,Lunch,Weekday,124
2024-10-12,ORD51389,Soda,Beverages,1,3.00,3.00,Cash,CUST6407,35,Female,Delivery,21:59:00,16,Saturday,Dinner,Weekend,125
2024-06-10,ORD89938,Soda,Beverages,1,3.00,3.00,"Mobile Payment",CUST3000,38,Male,Dine-in,21:27:00,11,Monday,Dinner,Weekday,126
2024-06-15,ORD23976,Beer,"Alcoholic Drinks",1,6.00,6.00,"Mobile Payment",CUST2335,22,"Prefer not to answer",Dine-in,19:16:00,11,Saturday,Dinner,Weekend,127
2024-04-18,ORD34997,Pizza,"Main Course",3,14.00,42.00,Cash,CUST3784,35,Female,Dine-in,13:27:00,19,Thursday,Lunch,Weekday,128
2024-12-14,ORD58518,Soda,Beverages,3,3.00,9.00,Cash,CUST1548,19,Male,Takeout,18:57:00,8,Saturday,Dinner,Weekend,129
2024-03-05,ORD84715,Tea,Beverages,1,3.00,3.00,Cash,CUST3695,19,Female,Dine-in,06:53:00,11,Tuesday,Breakfast,Weekday,130
2024-04-22,ORD43583,Tea,Beverages,5,3.00,15.00,"Credit Card",CUST1611,49,Male,Dine-in,06:34:00,15,Monday,Breakfast,Weekday,131
2024-05-21,ORD78138,Wine,"Alcoholic Drinks",1,10.00,10.00,"Credit Card",CUST6049,28,Male,Dine-in,18:56:00,11,Tuesday,Dinner,Weekday,132
2024-08-17,ORD79536,Pasta,"Main Course",1,16.00,16.00,"Mobile Payment",CUST5915,62,Male,Takeout,20:26:00,8,Saturday,Dinner,Weekend,133
2024-10-31,ORD33900,Pizza,"Main Course",2,14.00,28.00,"Mobile Payment",CUST5365,21,Female,Delivery,16:11:00,21,Thursday,Lunch,Weekday,134
2024-01-08,ORD14612,Pizza,"Main Course",1,14.00,14.00,Cash,CUST5291,65,Female,Takeout,11:32:00,8,Monday,Lunch,Weekday,135
2024-02-20,ORD15449,Burger,"Main Course",3,12.00,36.00,"Credit Card",CUST6837,62,Female,Takeout,13:25:00,14,Tuesday,Lunch,Weekday,136
2024-10-13,ORD20472,Pasta,"Main Course",1,16.00,16.00,"Mobile Payment",CUST8075,55,Male,Takeout,17:55:00,8,Sunday,Dinner,Weekend,137
2024-03-05,ORD41115,Pizza,"Main Course",5,14.00,70.00,"Mobile Payment",CUST4874,23,Male,Dine-in,16:27:00,25,Tuesday,Lunch,Weekday,138
2024-04-27,ORD75336,Pizza,"Main Course",1,14.00,14.00,"Mobile Payment",CUST8514,58,Male,Dine-in,15:00:00,13,Saturday,Lunch,Weekend,139
2024-12-30,ORD45297,Pizza,"Main Course",4,14.00,56.00,"Mobile Payment",CUST6103,21,Female,Takeout,13:24:00,17,Monday,Lunch,Weekday,140
2024-06-04,ORD29601,Wine,"Alcoholic Drinks",5,10.00,50.00,Cash,CUST9309,54,Male,Dine-in,19:04:00,11,Tuesday,Dinner,Weekday,141
2024-04-05,ORD19604,Salad,Appetizer,5,9.00,45.00,"Mobile Payment",CUST8198,62,Male,Dine-in,11:23:00,20,Friday,Lunch,Weekday,142
2024-12-22,ORD36088,Salad,Appetizer,2,9.00,18.00,Cash,CUST2694,39,Male,Takeout,16:54:00,9,Sunday,Lunch,Weekend,143
2024-08-09,ORD99847,Pizza,"Main Course",5,14.00,70.00,Cash,CUST2874,22,Male,Dine-in,14:23:00,25,Friday,Lunch,Weekday,144
2024-10-06,ORD53262,Tea,Beverages,5,3.00,15.00,Cash,CUST9529,25,Female,Takeout,09:24:00,10,Sunday,Breakfast,Weekend,145
2024-07-03,ORD68792,Burger,"Main Course",5,12.00,60.00,Cash,CUST4459,36,Male,Delivery,16:00:00,30,Wednesday,Lunch,Weekday,146
2024-05-30,ORD15596,Tea,Beverages,2,3.00,6.00,Cash,CUST5442,20,Male,Dine-in,10:28:00,12,Thursday,Breakfast,Weekday,147
2024-07-18,ORD87020,Soda,Beverages,1,3.00,3.00,"Mobile Payment",CUST9489,28,Male,Dine-in,17:38:00,11,Thursday,Dinner,Weekday,148
2024-05-13,ORD83189,Pasta,"Main Course",4,16.00,64.00,"Mobile Payment",CUST6178,36,Male,Dine-in,17:58:00,22,Monday,Dinner,Weekday,149
2024-10-16,ORD54887,Beer,"Alcoholic Drinks",1,6.00,6.00,"Mobile Payment",CUST9772,50,Female,Delivery,17:24:00,16,Wednesday,Dinner,Weekday,150
2024-10-04,ORD65418,Pasta,"Main Course",1,16.00,16.00,"Mobile Payment",CUST4508,56,Female,Dine-in,20:59:00,13,Friday,Dinner,Weekday,151
2024-09-18,ORD44246,Beer,"Alcoholic Drinks",5,6.00,30.00,Cash,CUST6579,47,Male,Delivery,17:56:00,16,Wednesday,Dinner,Weekday,152
2024-10-03,ORD64154,Coffee,Beverages,4,4.00,16.00,"Mobile Payment",CUST8567,18,Male,Delivery,06:55:00,19,Thursday,Breakfast,Weekday,153
2024-07-23,ORD79139,Pizza,"Main Course",4,14.00,56.00,"Credit Card",CUST9430,35,Male,Dine-in,15:52:00,22,Tuesday,Lunch,Weekday,154
2024-10-03,ORD38428,Beer,"Alcoholic Drinks",5,6.00,30.00,Cash,CUST1255,30,Female,Delivery,17:31:00,16,Thursday,Dinner,Weekday,155
2024-07-20,ORD39184,Pasta,"Main Course",3,16.00,48.00,"Credit Card",CUST3948,53,Female,Takeout,19:46:00,14,Saturday,Dinner,Weekend,156
2024-02-16,ORD95776,Beer,"Alcoholic Drinks",1,6.00,6.00,Cash,CUST6839,52,Male,Delivery,19:09:00,16,Friday,Dinner,Weekday,157
2024-05-04,ORD48480,Wine,"Alcoholic Drinks",5,10.00,50.00,"Mobile Payment",CUST3263,44,Female,Takeout,19:46:00,6,Saturday,Dinner,Weekend,159
2024-04-07,ORD78615,Pasta,"Main Course",5,16.00,80.00,"Mobile Payment",CUST1019,28,Male,Dine-in,18:17:00,25,Sunday,Dinner,Weekend,160
2024-12-11,ORD34202,Pizza,"Main Course",4,14.00,56.00,Cash,CUST2479,43,Female,Dine-in,12:23:00,22,Wednesday,Lunch,Weekday,161
2024-03-17,ORD63165,Salad,Appetizer,4,9.00,36.00,"Mobile Payment",CUST5739,18,Male,Dine-in,15:59:00,18,Sunday,Lunch,Weekend,162
2024-08-28,ORD25789,"Unknown Item",Beverages,3,4.00,12.00,"Credit Card",CUST1914,41,Male,Takeout,06:45:00,16,Wednesday,Breakfast,Weekday,163
2024-05-08,ORD20604,Beer,"Alcoholic Drinks",3,6.00,18.00,Cash,CUST6579,46,Female,Dine-in,18:20:00,11,Wednesday,Dinner,Weekday,164
2024-02-21,ORD72975,Beer,"Alcoholic Drinks",3,6.00,18.00,"Mobile Payment",CUST8406,18,Male,Takeout,20:07:00,6,Wednesday,Dinner,Weekday,165
2024-07-26,ORD86918,Pasta,"Main Course",4,16.00,64.00,Cash,CUST6792,60,Female,Takeout,17:29:00,17,Friday,Dinner,Weekday,166
2024-08-01,ORD27969,Soda,Beverages,5,3.00,15.00,"Credit Card",CUST1770,20,Male,Takeout,19:35:00,10,Thursday,Dinner,Weekday,167
2024-01-18,ORD47691,Pasta,"Main Course",1,16.00,16.00,Cash,CUST3977,51,Male,Takeout,20:58:00,8,Thursday,Dinner,Weekday,168
2024-05-11,ORD86922,Pizza,"Main Course",3,14.00,42.00,Cash,CUST9632,38,Female,Takeout,12:00:00,14,Saturday,Lunch,Weekend,169
2024-07-29,ORD35808,Pasta,"Main Course",4,16.00,64.00,"Credit Card",CUST3282,46,Female,Takeout,21:08:00,17,Monday,Dinner,Weekday,170
2024-05-15,ORD37334,Tea,Beverages,2,3.00,6.00,"Mobile Payment",CUST5966,37,Male,Takeout,09:27:00,7,Wednesday,Breakfast,Weekday,171
